Address,Borough,Bedrooms,Bathrooms,Square Footage,Monthly Rent
1403 5th Ave,Queens,3,3,916,3913.84
3786 Broadway,The Bronx,4,3,2923,3123.4
7956 5th Ave,Manhattan,1,3,1346,2969.02
3115 Broadway,The Bronx,3,2,1426,4205.87
4603 Park Ave,Brooklyn,4,1,2370,2797.79
5728 5th Ave,Staten Island,3,3,859,2922.18
210 Park Ave,Brooklyn,1,2,1123,4365.95
3313 Broadway,Queens,4,1,1664,3022.83
6279 Lexington Ave,Staten Island,4,2,2477,2286.67
1386 Madison Ave,Manhattan,3,1,2077,3618.48
5187 5th Ave,The Bronx,4,1,2130,4478.87
983 Lexington Ave,The Bronx,3,3,2177,4702.45
1027 Lexington Ave,Staten Island,3,2,565,3398.69
6214 Lexington Ave,Manhattan,4,3,906,4423.89
7550 Madison Ave,Brooklyn,3,2,1043,1223.27
8026 5th Ave,The Bronx,1,3,1474,4876
3730 Lexington Ave,Brooklyn,2,2,2436,3336.79
8384 Madison Ave,The Bronx,4,1,2794,2800.6
2216 Park Ave,Manhattan,4,3,2995,1867.04
2894 Broadway,Manhattan,4,3,2729,1309.24
4715 Madison Ave,Staten Island,2,1,2437,3749.07
8043 Lexington Ave,Queens,1,3,2382,1414.24
7237 Park Ave,Queens,4,1,1213,3332.69
9630 Park Ave,Brooklyn,4,3,1147,2922.52
9092 5th Ave,Manhattan,3,3,1485,2700.66
6578 Lexington Ave,Brooklyn,4,1,1911,2924.07
198 5th Ave,Staten Island,4,1,1704,3437.03
5133 Madison Ave,Queens,3,1,1965,2764.92
2720 Lexington Ave,Manhattan,4,3,2996,4126.56
5932 5th Ave,Queens,3,1,2128,3456.54
1403 Broadway,The Bronx,1,3,1122,3877.99
9642 Broadway,Brooklyn,2,1,2402,1084.85
3254 5th Ave,Manhattan,1,2,2813,4703.15
9078 Madison Ave,Staten Island,2,3,1994,3428.52
2403 Lexington Ave,Queens,2,1,1142,3276.65
1801 Madison Ave,Brooklyn,2,2,2364,2304.91
4495 Park Ave,The Bronx,2,1,2257,4779.58
9859 5th Ave,Queens,1,1,1892,2586.95
1485 Madison Ave,Queens,1,3,608,3581.29
1360 Madison Ave,The Bronx,4,1,2406,4715.23
9924 Madison Ave,Brooklyn,4,1,2113,2187.87
921 Broadway,The Bronx,1,2,2845,1542.89
6096 5th Ave,Brooklyn,3,2,753,3875.95
8568 Park Ave,Staten Island,4,2,1134,2283.6
4671 Broadway,Brooklyn,3,2,2197,3629.29
1907 Broadway,Staten Island,4,2,2746,1338.14
6760 Broadway,Queens,2,2,2333,3331.59
8297 Madison Ave,Brooklyn,4,1,2484,3697.15
3812 Park Ave,Staten Island,4,2,1890,4275.11
4221 Broadway,Brooklyn,4,1,2083,2034.53
9368 Broadway,The Bronx,1,1,2559,2769.18
8993 5th Ave,Manhattan,1,2,1007,3997.27
1985 Madison Ave,Manhattan,2,3,1323,2884.81
6622 5th Ave,Manhattan,4,2,881,1842.3
8561 Park Ave,Manhattan,3,1,1443,3697.53
2553 Park Ave,Manhattan,3,1,1908,3783.04
5876 Park Ave,Queens,2,3,658,1877.98
898 Broadway,Queens,3,2,1048,1668.47
5525 Madison Ave,Staten Island,2,1,575,4643.54
9155 5th Ave,Staten Island,1,1,1144,1121.19
1318 Park Ave,Staten Island,2,1,923,4818.59
4336 Lexington Ave,Manhattan,2,2,1409,4546.61
427 Lexington Ave,The Bronx,1,3,2648,1653.16
4717 Madison Ave,Queens,4,2,847,1677.17
8060 5th Ave,The Bronx,3,2,2500,4972.33
5792 Madison Ave,Queens,4,3,1247,3482.94
5145 Lexington Ave,Staten Island,2,2,2689,4018.33
2636 Lexington Ave,Staten Island,4,1,1651,4233.9
4758 Madison Ave,The Bronx,2,3,2138,4055.98
1758 Park Ave,Manhattan,1,2,2317,4421.18
4414 Park Ave,Staten Island,4,2,1864,3330.44
8235 5th Ave,Queens,1,1,2049,4985.18
6982 Madison Ave,Manhattan,2,1,1433,4636.47
6280 Park Ave,Staten Island,4,2,2174,1688.3
2150 Broadway,Queens,2,2,825,2481.03
3114 Broadway,Brooklyn,3,3,672,4961
8278 Lexington Ave,Staten Island,4,1,2684,2343.98
9833 Lexington Ave,Staten Island,3,2,1196,3759.64
9437 Lexington Ave,The Bronx,1,1,2053,1631.08
4775 Broadway,Manhattan,4,2,1054,1877.9
9203 Lexington Ave,The Bronx,2,1,1537,1910.58
7993 Lexington Ave,Brooklyn,2,3,1510,3409.58
5005 Lexington Ave,The Bronx,4,1,971,1525.1
6897 Broadway,Brooklyn,2,2,2560,2692.24
902 5th Ave,Staten Island,1,3,796,2271.62
9132 Broadway,Manhattan,2,3,2544,4747.7
6080 Broadway,The Bronx,2,1,2294,2410.8
866 Broadway,Queens,3,2,1080,1466.07
3261 5th Ave,Staten Island,3,2,1759,4745.86
9694 Broadway,The Bronx,1,1,1897,1053.97
6088 Madison Ave,Manhattan,2,1,843,1735.53
5021 Broadway,Manhattan,2,2,1847,2027.89
3766 Park Ave,The Bronx,4,1,696,3163.59
7974 Madison Ave,Brooklyn,4,3,1889,3023.15
1724 Broadway,Brooklyn,3,1,1390,4602.16
6285 Broadway,Brooklyn,1,1,508,2969.75
9891 Lexington Ave,Queens,3,1,1078,3522.55
864 5th Ave,Queens,1,2,1356,2198.45
8021 Park Ave,Manhattan,1,2,1223,3668.43
